Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
38,No,Travel_Frequently,712.0,Human Resources,16.0,2,Medical,1,396,1,Male,91,3,3,Sales Executive,1,Married,10267,21696,1.0,Y,Yes,20,3,4,80,0,20,2,3,3,3,3,3
44,No,Travel_Frequently,1209.0,Sales,1.0,2,Medical,1,397,4,Male,93,3,4,Laboratory Technician,2,Single,19452,14646,5.0,Y,Yes,11,4,2,80,0,10,2,3,7,2,1,7
39,No,Travel_Rarely,1058.0,Sales,3.0,3,Medical,1,398,1,Male,45,3,2,Sales Representative,2,Divorced,8180,21804,4.0,Y,No,20,3,3,80,1,10,5,3,10,3,2,8
42,No,Travel_Rarely,603.0,Research & Development,3.0,2,Medical,1,399,3,Female,76,3,3,Research Scientist,3,Married,10026,24776,3.0,Y,No,20,3,2,80,2,18,3,3,5,5,1,2
31,No,Travel_Rarely,310.0,Research & Development,1.0,4,Medical,1,400,1,Female,77,1,2,Laboratory Technician,3,Divorced,5419,14326,1.0,Y,No,15,3,1,80,2,6,3,3,5,5,0,5
35,No,Non-Travel,612.0,Sales,1.0,2,Life Sciences,1,401,2,Male,91,2,1,Human Resources,3,Single,7049,22083,4.0,Y,Yes,16,3,4,80,0,16,1,3,13,6,0,1
39,No,Non-Travel,520.0,Research & Development,20.0,4,Life Sciences,1,402,3,Male,36,4,2,Sales Executive,4,Divorced,7269,5192,2.0,Y,Yes,14,3,4,80,0,12,2,3,11,7,2,2
44,No,Travel_Frequently,1038.0,Research & Development,29.0,4,Technical Degree,1,403,2,Female,46,4,3,Healthcare Representative,1,Divorced,9675,16188,4.0,Y,No,11,3,1,80,0,4,2,3,1,1,1,1
33,No,Travel_Frequently,213.0,Research & Development,2.0,2,Life Sciences,1,404,3,Male,90,4,1,Manager,1,Married,5305,13683,3.0,Y,Yes,17,3,1,80,1,3,2,3,2,2,2,2
42,No,Travel_Frequently,676.0,Research & Development,11.0,1,Medical,1,405,2,Male,32,3,2,Sales Executive,3,Single,9069,2234,5.0,Y,No,16,3,3,80,2,8,2,3,6,2,3,1
35,No,Travel_Rarely,965.0,Sales,1.0,4,Life Sciences,1,406,4,Male,63,4,2,Healthcare Representative,3,Married,9041,24410,2.0,Y,No,16,3,1,80,0,6,1,3,4,4,1,1
36,No,Travel_Rarely,1004.0,Research & Development,21.0,3,Technical Degree,1,407,3,Female,50,3,4,Laboratory Technician,3,Married,14335,20561,0.0,Y,No,17,4,3,80,0,15,2,3,6,2,1,5
44,No,Travel_Rarely,1091.0,Sales,27.0,3,Medical,1,408,2,Female,73,3,1,Manager,4,Divorced,4986,16640,6.0,Y,No,13,3,4,80,2,6,0,3,4,1,2,2
19,No,Travel_Rarely,501.0,Research & Development,2.0,1,Life Sciences,1,409,4,Male,63,3,1,Sales Representative,1,Married,5117,19419,5.0,Y,Yes,20,3,3,80,1,1,3,2,1,1,1,1
25,No,Travel_Rarely,828.0,Research & Development,7.0,2,Life Sciences,1,410,4,Female,89,3,1,Sales Representative,3,Single,5305,20872,2.0,Y,No,15,3,4,80,0,7,3,3,4,0,4,0
24,No,Travel_Frequently,,Research & Development,12.0,3,Medical,1,411,1,Male,35,3,1,Sales Executive,4,Single,5464,21461,1.0,Y,No,17,4,1,80,0,3,3,4,2,2,1,2
18,No,Travel_Rarely,722.0,Sales,1.0,4,Other,1,412,3,Male,65,3,1,Healthcare Representative,3,Married,6670,9432,3.0,Y,No,14,4,2,80,0,0,6,2,0,0,0,0
31,Yes,Travel_Frequently,1473.0,Research & Development,28.0,2,Medical,1,413,3,Male,66,4,2,Research Director,3,Divorced,8001,12499,2.0,Y,Yes,19,3,4,80,0,4,3,2,1,0,1,1
44,No,Non-Travel,1286.0,Research & Development,1.0,4,Medical,1,414,3,Male,65,2,3,Manufacturing Director,1,Single,9629,10640,4.0,Y,No,15,3,1,80,1,9,5,3,3,3,3,0
34,No,Travel_Rarely,971.0,Research & Development,10.0,3,Marketing,1,415,1,Male,35,2,2,Manufacturing Director,2,Married,7640,24783,0.0,Y,No,15,4,2,80,1,6,2,2,5,3,1,1
39,No,Travel_Rarely,687.0,Sales,17.0,1,Life Sciences,1,416,1,Male,62,3,3,Sales Executive,1,Divorced,12456,5010,1.0,Y,Yes,19,4,3,80,0,14,2,3,13,2,5,0
47,No,Travel_Rarely,1360.0,Sales,7.0,2,Medical,1,417,2,Male,91,2,4,Manager,3,Single,11084,24688,3.0,Y,No,11,3,2,80,1,13,2,3,4,4,1,1
49,No,Travel_Frequently,719.0,Research & Development,29.0,2,Life Sciences,1,418,1,Female,72,4,4,Sales Executive,3,Single,11094,10631,4.0,Y,No,14,3,3,80,0,3,6,3,0,0,0,0
36,No,Travel_Rarely,1168.0,Sales,9.0,3,Life Sciences,1,419,2,Male,37,3,1,Research Scientist,4,Married,6352,21484,1.0,Y,Yes,13,3,4,80,0,15,5,4,12,3,0,1
49,No,Non-Travel,908.0,Research & Development,1.0,3,Medical,1,420,4,Male,80,3,4,Research Director,3,Married,17036,6318,0.0,Y,Yes,16,3,2,80,0,12,3,3,9,2,1,2
38,No,Travel_Frequently,131.0,Research & Development,27.0,3,Technical Degree,1,421,2,Female,95,3,2,Research Director,1,Single,5622,23099,2.0,Y,No,16,3,3,80,0,5,4,3,4,3,2,0
29,No,Travel_Rarely,1085.0,Research & Development,1.0,2,Technical Degree,1,422,3,Female,86,3,1,Human Resources,4,Divorced,4880,15517,0.0,Y,No,15,3,1,80,3,11,2,4,5,5,1,4
32,Yes,Travel_Rarely,1350.0,Sales,1.0,3,Technical Degree,1,423,2,Female,36,2,1,Laboratory Technician,2,Married,3980,26621,5.0,Y,No,12,3,3,80,0,12,3,3,3,3,1,3
24,Yes,Travel_Frequently,1187.0,Research & Development,4.0,3,Medical,1,424,3,Female,32,3,1,Sales Executive,4,Divorced,4230,11901,3.0,Y,No,15,3,2,80,0,6,2,2,6,1,2,5
29,No,Travel_Rarely,960.0,Research & Development,2.0,3,Life Sciences,1,425,4,Female,42,3,1,Laboratory Technician,2,Divorced,5249,26862,4.0,Y,No,16,3,4,80,1,4,3,3,1,1,0,1
34,Yes,Travel_Rarely,159.0,Research & Development,1.0,3,Medical,1,426,4,Male,54,3,2,Sales Executive,4,Divorced,5572,22908,5.0,Y,Yes,14,4,1,80,0,13,2,3,7,4,6,3
44,No,Travel_Rarely,134.0,Research & Development,,2,Other,1,427,3,Male,94,3,1,Sales Representative,4,Married,2707,2297,0.0,Y,Yes,19,3,4,80,0,19,3,2,5,3,1,5
52,No,Travel_Rarely,1291.0,Sales,5.0,3,Medical,1,428,3,Female,60,3,4,Laboratory Technician,1,Single,13757,11625,2.0,Y,No,17,4,4,80,0,34,2,3,6,1,6,4
25,No,Travel_Rarely,765.0,Human Resources,18.0,3,Medical,1,429,2,Male,97,3,1,Research Scientist,3,Married,4438,12200,1.0,Y,No,15,3,4,80,0,7,3,2,6,6,3,6
41,No,Travel_Rarely,732.0,Research & Development,12.0,3,Medical,1,430,4,Male,36,3,3,Sales Executive,3,Single,9073,7382,1.0,Y,No,11,3,4,80,0,13,2,2,11,8,2,0
28,Yes,Travel_Rarely,997.0,Research & Development,11.0,2,Marketing,1,431,2,Male,83,3,1,Research Scientist,2,Married,6121,23965,3.0,Y,Yes,14,3,2,80,1,2,3,3,0,0,0,0
41,No,Non-Travel,1367.0,Research & Development,11.0,3,Technical Degree,1,432,2,Male,82,3,1,Sales Representative,2,Single,3948,4191,3.0,Y,No,17,3,3,80,1,16,2,4,11,1,3,2
36,No,Travel_Rarely,712.0,Research & Development,8.0,3,Marketing,1,433,3,Male,97,3,2,Healthcare Representative,3,Married,7140,8536,2.0,Y,No,14,3,2,80,0,10,2,3,3,1,3,1
21,No,Travel_Rarely,851.0,Research & Development,1.0,3,Medical,1,434,1,Male,66,3,1,Sales Executive,2,Single,5208,8384,4.0,Y,No,16,3,2,80,1,3,3,3,3,2,0,3
45,No,Travel_Rarely,882.0,Human Resources,4.0,4,Life Sciences,1,435,2,Female,72,3,3,Sales Executive,1,Single,10867,12515,5.0,Y,Yes,14,3,3,80,0,4,2,3,3,1,3,3
32,No,Non-Travel,766.0,Research & Development,8.0,4,Medical,1,436,4,Female,30,3,1,Research Scientist,4,Single,6207,19461,1.0,Y,No,16,3,3,80,1,9,2,1,7,1,1,7
32,Yes,Travel_Frequently,1019.0,Sales,1.0,1,Life Sciences,1,437,1,Male,91,3,1,Sales Executive,3,Married,3019,2266,5.0,Y,No,20,3,3,80,0,9,2,3,1,1,0,1
27,Yes,Travel_Rarely,374.0,Research & Development,16.0,3,Other,1,438,2,Female,74,3,1,Research Director,2,Divorced,2184,17690,0.0,Y,No,18,3,4,80,0,9,3,3,9,3,2,9
31,No,Travel_Rarely,623.0,Sales,14.0,3,Medical,1,439,2,Male,79,3,2,Manufacturing Director,4,Single,7342,12177,4.0,Y,Yes,11,3,3,80,1,8,3,3,8,5,3,1
41,No,Travel_Rarely,758.0,Research & Development,17.0,5,Medical,1,440,2,Female,53,4,3,Sales Executive,4,Divorced,11208,17533,2.0,Y,No,11,3,3,80,0,5,2,3,0,0,0,0
35,No,Travel_Rarely,827.0,Human Resources,2.0,2,Life Sciences,1,441,4,Female,35,2,3,Healthcare Representative,4,Divorced,8866,3631,5.0,Y,No,17,3,3,80,0,5,2,4,0,0,0,0
40,No,Travel_Rarely,790.0,Sales,14.0,2,Medical,1,442,4,Male,80,3,1,Research Scientist,3,Married,2202,23466,1.0,Y,No,19,3,3,80,1,15,3,3,2,2,2,2
40,No,Travel_Rarely,686.0,Research & Development,1.0,3,Medical,1,443,4,Female,81,3,2,Research Scientist,2,Married,8228,16473,2.0,Y,Yes,11,3,3,80,2,22,4,2,5,0,1,5
49,No,Travel_Rarely,1351.0,Sales,15.0,2,Life Sciences,1,444,4,Female,42,3,4,Laboratory Technician,1,Married,12935,8390,3.0,Y,Yes,14,3,2,80,1,3,1,4,3,3,0,3
34,Yes,Travel_Rarely,1220.0,Research & Development,17.0,3,Technical Degree,1,445,3,Female,87,4,1,Sales Executive,4,Single,2085,21757,3.0,Y,No,24,3,3,80,0,7,2,2,1,1,1,1
24,No,Travel_Rarely,1341.0,Research & Development,6.0,3,Life Sciences,1,446,3,Female,30,3,1,Laboratory Technician,4,Married,6437,13819,4.0,Y,No,14,3,3,80,0,6,4,4,6,1,1,0
47,No,Travel_Rarely,932.0,Research & Development,9.0,2,Medical,1,447,3,Male,75,3,2,Manager,4,Single,6762,11814,4.0,Y,Yes,24,3,2,80,1,5,2,3,5,0,1,5
34,No,Travel_Rarely,781.0,Sales,22.0,3,Life Sciences,1,448,3,Male,36,3,1,Research Director,3,Divorced,6769,6282,3.0,Y,Yes,12,3,2,80,0,12,2,3,11,1,3,0
47,No,Travel_Rarely,703.0,Sales,19.0,4,Medical,1,449,4,Female,82,3,3,Research Scientist,2,Divorced,11151,14310,2.0,Y,No,13,4,2,80,0,6,2,3,2,2,2,2
40,No,Travel_Rarely,1313.0,Research & Development,4.0,4,Medical,1,450,3,Female,60,3,1,Manufacturing Director,4,Divorced,5230,7543,2.0,Y,No,12,3,2,80,1,16,6,3,6,4,1,0
36,No,Non-Travel,1032.0,Sales,,3,Technical Degree,1,451,3,Female,52,3,2,Research Scientist,1,Married,7519,20365,4.0,Y,No,11,4,2,80,3,18,3,3,15,1,15,13
40,No,Travel_Frequently,1295.0,Research & Development,8.0,2,Life Sciences,1,452,3,Male,82,1,2,Laboratory Technician,3,Married,3120,11331,3.0,Y,No,11,3,4,80,1,16,2,3,14,3,5,10
55,No,Travel_Rarely,1289.0,Research & Development,16.0,2,Other,1,453,1,Male,86,3,3,Research Scientist,3,Divorced,9053,5042,4.0,Y,No,14,4,3,80,0,4,2,3,1,0,0,0
56,No,Travel_Rarely,1426.0,Research & Development,6.0,4,Medical,1,454,3,Male,72,3,3,Laboratory Technician,4,Single,10873,19703,2.0,Y,No,16,3,2,80,1,16,2,3,10,5,5,0
38,No,Travel_Rarely,863.0,Research & Development,1.0,4,Life Sciences,1,455,3,Female,81,3,3,Sales Executive,3,Single,11756,23139,2.0,Y,No,12,3,4,80,0,4,2,3,1,1,1,1
38,No,Travel_Rarely,607.0,Research & Development,2.0,3,Life Sciences,1,456,3,Male,31,3,3,Research Director,4,Married,7878,22857,4.0,Y,Yes,13,3,3,80,1,7,6,3,1,1,1,1
47,No,Travel_Rarely,1371.0,Research & Development,1.0,4,Life Sciences,1,457,3,Female,87,4,2,Sales Representative,1,Married,7803,14170,3.0,Y,No,20,4,1,80,1,8,3,2,0,0,0,0
29,Yes,Travel_Frequently,398.0,Research & Development,12.0,2,Technical Degree,1,458,4,Female,71,3,1,Research Scientist,2,Married,2679,9745,3.0,Y,Yes,18,3,4,80,1,11,3,3,11,6,6,3
40,No,Non-Travel,553.0,Research & Development,2.0,3,Life Sciences,1,459,4,Male,40,3,1,Healthcare Representative,1,Single,5122,7608,0.0,Y,No,14,3,4,80,0,8,5,3,2,2,2,2
37,Yes,Travel_Rarely,1420.0,Sales,1.0,2,Medical,1,460,2,Male,63,3,2,Sales Executive,2,Married,7865,12000,0.0,Y,No,17,3,3,80,1,10,2,3,4,1,2,0
40,No,Travel_Rarely,1099.0,Research & Development,10.0,2,Medical,1,461,2,Male,73,3,2,Healthcare Representative,2,Single,9238,4619,3.0,Y,No,11,3,2,80,1,9,2,3,7,1,1,1
29,No,Travel_Rarely,919.0,Sales,2.0,3,Technical Degree,1,462,1,Female,85,4,2,Research Scientist,2,Single,9820,24201,5.0,Y,No,16,3,4,80,1,1,2,3,0,0,0,0
23,Yes,Travel_Rarely,842.0,Research & Development,16.0,3,Medical,1,463,1,Female,66,3,1,Sales Executive,3,Single,5526,8296,3.0,Y,No,15,3,1,80,1,5,3,2,5,1,2,1
18,Yes,Travel_Frequently,753.0,Research & Development,10.0,4,Marketing,1,464,2,Male,47,4,1,Manufacturing Director,3,Married,6248,21525,2.0,Y,No,14,3,3,80,0,0,2,3,0,0,0,0
27,No,Travel_Rarely,1354.0,Research & Development,6.0,3,Life Sciences,1,465,4,Male,47,3,2,Laboratory Technician,3,Divorced,7269,11686,4.0,Y,No,15,3,4,80,1,9,3,3,3,0,1,0
33,No,Non-Travel,676.0,Sales,8.0,4,Technical Degree,1,466,4,Male,80,3,1,Laboratory Technician,4,Married,9781,19286,7.0,Y,No,15,3,4,80,0,5,0,2,4,0,0,1
34,No,Travel_Frequently,771.0,Research & Development,12.0,4,Life Sciences,1,467,2,Male,90,3,2,Laboratory Technician,1,Married,5706,24775,2.0,Y,No,11,3,3,80,0,7,0,3,1,1,1,1
54,No,Non-Travel,220.0,Research & Development,2.0,3,Life Sciences,1,468,4,Female,74,1,2,Sales Executive,2,Married,6950,12233,1.0,Y,No,21,3,1,80,1,12,2,3,12,2,6,0
47,Yes,Travel_Rarely,262.0,Sales,15.0,4,Other,1,469,2,Female,85,2,3,Sales Executive,1,Married,12722,26122,4.0,Y,Yes,18,3,2,80,0,21,2,2,19,4,1,3
28,No,Travel_Rarely,387.0,Sales,3.0,3,Life Sciences,1,470,4,Male,73,3,2,Manufacturing Director,1,Divorced,9254,10588,2.0,Y,No,14,3,4,80,0,3,4,3,1,1,1,1
40,No,Non-Travel,520.0,Research & Development,1.0,3,Life Sciences,1,471,3,Female,64,3,2,Manufacturing Director,3,Married,8777,8432,1.0,Y,No,11,3,4,80,0,15,6,4,8,2,0,1
33,No,Travel_Rarely,509.0,Research & Development,13.0,2,Medical,1,472,4,Male,58,2,2,Sales Executive,4,Married,9115,20111,3.0,Y,Yes,11,3,4,80,1,5,5,2,3,3,1,3
34,No,Travel_Frequently,1033.0,Research & Development,2.0,2,Life Sciences,1,473,2,Female,64,2,1,Research Scientist,2,Single,1009,5595,4.0,Y,No,22,4,1,80,3,6,3,3,1,0,1,1
39,No,Non-Travel,872.0,Research & Development,1.0,4,Life Sciences,1,474,1,Male,30,2,2,Manufacturing Director,3,Single,10760,4418,2.0,Y,No,14,3,4,80,1,14,2,2,9,4,6,3
43,No,Travel_Rarely,107.0,Sales,1.0,3,Medical,1,475,2,Female,70,3,2,Manufacturing Director,2,Divorced,7532,11261,3.0,Y,No,18,3,2,80,1,25,3,3,7,0,1,1
34,No,Travel_Rarely,823.0,Research & Development,9.0,3,Marketing,1,476,4,Female,43,3,3,Manager,1,Divorced,13342,15629,2.0,Y,No,12,3,2,80,1,16,2,3,16,0,0,4
47,No,Non-Travel,216.0,Research & Development,1.0,2,Marketing,1,477,4,Male,93,4,2,Laboratory Technician,4,Divorced,4239,13752,2.0,Y,No,14,3,4,80,0,7,6,3,1,0,0,1
27,No,Non-Travel,860.0,Research & Development,5.0,3,Life Sciences,1,478,3,Female,89,3,1,Laboratory Technician,3,Divorced,5161,3608,6.0,Y,Yes,14,3,3,80,0,3,3,3,2,2,0,0
37,No,Travel_Frequently,172.0,Research & Development,8.0,4,Medical,1,479,4,Female,64,3,3,Laboratory Technician,4,Single,10085,15748,3.0,Y,No,16,3,3,80,0,12,2,3,7,1,2,1
60,No,Travel_Rarely,208.0,Sales,16.0,2,Marketing,1,480,1,Male,73,2,3,Research Scientist,4,Divorced,12129,17618,3.0,Y,No,15,3,3,80,2,6,3,3,2,2,2,0
39,No,Travel_Rarely,1256.0,Research & Development,3.0,4,Life Sciences,1,481,4,Male,32,2,2,Sales Executive,3,Married,8470,9184,5.0,Y,Yes,12,3,4,80,0,8,2,3,8,2,1,1
50,No,Travel_Rarely,115.0,Research & Development,29.0,3,Life Sciences,1,482,4,Female,70,4,3,Sales Executive,1,Divorced,11758,16250,1.0,Y,No,12,3,1,80,0,9,3,4,2,2,2,1
38,No,Non-Travel,1460.0,Research & Development,3.0,4,Life Sciences,1,483,3,Male,89,3,1,Manager,4,Single,2793,10930,0.0,Y,Yes,15,3,1,80,1,4,2,3,2,1,0,2
42,No,Travel_Rarely,749.0,Research & Development,5.0,2,Medical,1,484,3,Male,66,3,2,Sales Executive,4,Single,7797,3583,2.0,Y,No,11,3,3,80,1,12,5,1,8,0,1,8
36,No,Travel_Rarely,1256.0,Research & Development,24.0,3,Life Sciences,1,485,1,Male,90,3,3,Manufacturing Director,3,Married,10775,20625,4.0,Y,Yes,12,3,4,80,1,8,6,3,2,2,1,1
35,No,Travel_Frequently,372.0,Research & Development,2.0,2,Medical,1,486,1,Female,35,3,2,Laboratory Technician,3,Divorced,8791,12550,0.0,Y,No,14,3,4,80,0,14,2,4,4,4,1,3
30,No,Travel_Rarely,754.0,Research & Development,2.0,3,Other,1,487,1,Male,98,3,1,Research Scientist,3,Married,6480,26591,4.0,Y,No,16,3,2,80,3,6,3,3,1,1,0,1
41,No,Travel_Rarely,1347.0,Sales,15.0,4,Life Sciences,1,488,4,Male,54,2,3,Manager,2,Single,11370,6886,6.0,Y,No,20,3,4,80,0,16,2,3,2,1,2,0
29,No,Travel_Rarely,209.0,Human Resources,1.0,3,Medical,1,489,4,Female,31,4,2,Manufacturing Director,3,Single,5602,2282,3.0,Y,No,13,3,2,80,0,1,4,3,1,1,1,1
43,No,Travel_Rarely,703.0,Sales,7.0,2,Life Sciences,1,490,1,Male,73,3,3,Sales Executive,2,Divorced,11293,21971,1.0,Y,No,15,3,2,80,2,9,3,3,7,2,2,1
47,No,Travel_Rarely,273.0,Research & Development,3.0,4,Life Sciences,1,491,4,Female,73,3,3,Healthcare Representative,2,Married,15799,23569,6.0,Y,No,11,3,1,80,2,20,6,3,11,1,2,3
40,No,Travel_Rarely,593.0,Research & Development,1.0,1,Marketing,1,492,4,Male,38,2,3,Laboratory Technician,3,Married,14062,24839,4.0,Y,No,16,3,2,80,3,7,5,3,2,2,1,2
34,No,Non-Travel,1457.0,Research & Development,6.0,3,Medical,1,493,3,Female,54,3,3,Research Scientist,3,Married,5746,26738,7.0,Y,No,12,4,1,80,1,5,2,2,2,2,2,1
41,No,Travel_Frequently,861.0,Sales,2.0,5,Other,1,494,4,Female,94,3,3,Healthcare Representative,4,Married,11214,9931,3.0,Y,Yes,14,4,2,80,2,10,2,1,8,1,2,1
34,No,Travel_Rarely,568.0,Research & Development,5.0,3,Medical,1,495,4,Male,43,3,1,Manufacturing Director,3,Married,6377,18999,3.0,Y,Yes,17,3,2,80,0,16,3,3,11,3,4,0
45,No,Non-Travel,980.0,Research & Development,4.0,4,Life Sciences,1,496,2,Female,35,4,2,Research Scientist,4,Married,7571,2824,2.0,Y,No,17,3,4,80,2,5,2,3,4,4,4,4
21,No,Travel_Rarely,495.0,Research & Development,3.0,3,Medical,1,497,4,Male,87,3,1,Human Resources,2,Divorced,3871,12491,3.0,Y,Yes,11,3,2,80,1,3,2,3,2,2,2,2
34,Yes,Travel_Rarely,216.0,Research & Development,29.0,4,Life Sciences,1,498,3,Male,77,4,2,Manufacturing Director,3,Divorced,7419,24450,3.0,Y,Yes,18,3,4,80,0,6,3,1,3,3,0,3
19,No,Non-Travel,891.0,Sales,10.0,3,Technical Degree,1,499,1,Male,64,3,1,Manufacturing Director,1,Divorced,5693,17892,1.0,Y,No,15,3,4,80,0,1,3,3,1,1,1,1
24,No,Travel_Rarely,1137.0,Sales,4.0,3,Medical,1,500,2,Female,51,4,1,Sales Executive,3,Married,2632,23126,1.0,Y,No,20,3,3,80,1,6,3,3,2,0,1,1
49,No,Travel_Frequently,351.0,Research & Development,9.0,2,Life Sciences,1,501,3,Male,90,3,4,Research Scientist,3,Married,16439,25656,1.0,Y,No,20,3,4,80,1,2,2,3,1,0,1,1
45,No,Travel_Rarely,294.0,Sales,1.0,4,Medical,1,502,4,Male,90,3,3,Laboratory Technician,1,Married,10999,21939,2.0,Y,No,21,4,2,80,3,19,2,3,11,1,5,6
31,Yes,Travel_Rarely,937.0,Research & Development,7.0,2,Medical,1,503,3,Male,30,3,1,Manufacturing Director,4,Divorced,3016,19211,3.0,Y,Yes,11,3,1,80,2,5,2,3,3,2,1,3
23,No,Travel_Rarely,642.0,Research & Development,9.0,5,Marketing,1,504,3,Male,87,4,1,Laboratory Technician,3,Married,6723,10969,3.0,Y,No,16,3,3,80,1,5,3,3,5,5,1,5
18,No,Travel_Rarely,1409.0,Research & Development,10.0,2,Life Sciences,1,505,2,Male,63,4,1,Healthcare Representative,3,Married,1918,15332,2.0,Y,No,11,4,3,80,0,0,3,3,0,0,0,0
32,No,Travel_Rarely,600.0,Sales,2.0,2,Life Sciences,1,506,4,Male,53,3,1,Research Scientist,3,Married,3700,4079,2.0,Y,No,20,4,3,80,1,3,3,3,1,1,0,1
59,No,Non-Travel,650.0,Research & Development,4.0,4,Life Sciences,1,507,1,Male,54,3,5,Healthcare Representative,4,Married,16470,16467,2.0,Y,No,20,3,4,80,1,12,6,3,8,3,5,2
41,No,Travel_Rarely,897.0,Research & Development,9.0,2,Life Sciences,1,508,3,Male,62,3,3,Manager,3,Married,14959,26373,4.0,Y,No,19,3,4,80,0,8,5,3,1,1,1,1
32,No,Travel_Rarely,1468.0,Human Resources,6.0,3,Medical,1,509,3,Female,70,2,2,Healthcare Representative,1,Single,6666,5777,3.0,Y,No,13,3,3,80,0,8,1,4,7,0,3,1
41,No,Travel_Rarely,1065.0,Research & Development,21.0,4,Life Sciences,1,510,1,Male,97,1,2,Healthcare Representative,4,Married,4021,14382,4.0,Y,No,17,3,1,80,1,17,4,3,12,1,2,4
23,No,Travel_Rarely,1032.0,Research & Development,16.0,2,Medical,1,511,4,Female,31,3,1,Sales Representative,3,Married,3652,24495,1.0,Y,Yes,13,3,4,80,0,5,2,2,4,4,0,0
34,No,Travel_Rarely,1220.0,Research & Development,1.0,2,Medical,1,512,4,Male,72,3,1,Sales Executive,3,Single,5519,10975,1.0,Y,Yes,15,3,4,80,0,3,3,3,2,0,2,2
38,No,Travel_Rarely,1241.0,Sales,2.0,3,Life Sciences,1,513,3,Male,34,3,2,Manufacturing Director,3,Divorced,9311,16767,0.0,Y,No,15,4,3,80,0,10,2,2,1,1,1,0
36,No,Travel_Rarely,838.0,Sales,5.0,2,Technical Degree,1,514,4,Male,30,3,2,Research Director,2,Married,11997,21450,0.0,Y,Yes,11,3,4,80,0,6,2,3,4,1,3,4
44,No,Travel_Frequently,502.0,Human Resources,8.0,2,Medical,1,515,4,Male,51,3,3,Laboratory Technician,4,Single,13632,21722,3.0,Y,No,12,3,3,80,1,14,6,2,1,1,1,1
40,No,Travel_Frequently,319.0,Research & Development,6.0,1,Life Sciences,1,516,1,Male,84,3,3,Sales Executive,3,Divorced,11438,18797,7.0,Y,Yes,23,3,2,80,0,12,3,2,5,3,3,1
43,No,Travel_Frequently,894.0,Research & Development,2.0,3,Medical,1,517,1,Female,54,2,3,Human Resources,4,Married,9495,3655,3.0,Y,No,15,3,4,80,1,5,2,3,4,4,0,2
31,No,Travel_Frequently,1074.0,Sales,4.0,3,Life Sciences,1,518,3,Male,55,2,1,Sales Executive,2,Married,7623,3136,3.0,Y,No,16,4,3,80,2,12,5,3,9,4,2,9
45,No,Travel_Frequently,613.0,Research & Development,5.0,1,Technical Degree,1,519,3,Male,93,3,2,Research Scientist,4,Married,7236,20887,1.0,Y,Yes,15,3,3,80,1,14,2,3,8,4,1,1
52,No,Travel_Rarely,770.0,Research & Development,1.0,3,Medical,1,520,3,Male,49,3,2,Sales Executive,4,Divorced,6715,25962,3.0,Y,No,14,3,3,80,1,15,1,2,6,0,5,6
28,No,Travel_Rarely,724.0,Human Resources,9.0,3,Medical,1,521,3,Male,83,4,2,Laboratory Technician,4,Married,7149,8761,0.0,Y,No,15,3,3,80,0,10,2,2,3,3,1,3
29,No,Travel_Rarely,924.0,Research & Development,9.0,1,Technical Degree,1,522,4,Male,88,2,1,Research Scientist,4,Married,2445,15942,1.0,Y,No,14,4,1,80,1,11,3,2,11,5,5,1
49,No,Travel_Rarely,1245.0,Research & Development,4.0,3,Marketing,1,523,1,Male,75,3,4,Laboratory Technician,4,Single,13462,3871,2.0,Y,Yes,11,3,3,80,1,24,3,3,11,1,1,3
35,Yes,Travel_Frequently,721.0,Sales,8.0,4,Marketing,1,524,2,Male,97,3,3,Research Director,3,Married,10680,6782,3.0,Y,No,18,3,1,80,2,14,3,3,12,5,1,2
50,No,Travel_Rarely,827.0,Sales,6.0,3,Life Sciences,1,525,2,Male,98,3,2,Laboratory Technician,1,Married,9215,14162,1.0,Y,No,21,3,2,80,2,3,3,3,1,1,1,1
33,No,Travel_Rarely,683.0,Human Resources,4.0,3,Life Sciences,1,526,3,Female,34,3,1,Laboratory Technician,3,Married,4001,2491,6.0,Y,No,11,3,1,80,1,3,3,3,0,0,0,0
50,Yes,Travel_Rarely,523.0,Sales,29.0,3,Medical,1,527,4,Female,41,4,4,Sales Representative,3,Married,12018,16756,2.0,Y,No,14,4,2,80,0,19,2,2,8,7,1,3
38,No,Travel_Rarely,1081.0,Research & Development,15.0,2,Medical,1,528,4,Male,57,3,2,Manager,1,Divorced,5013,15847,3.0,Y,Yes,20,3,4,80,1,13,1,3,3,2,2,0
39,No,Travel_Rarely,963.0,Sales,7.0,4,Medical,1,529,3,Female,76,3,2,Research Scientist,4,Married,8277,4402,2.0,Y,No,12,3,1,80,3,3,2,3,3,1,1,3
